"Id","DirName","Title","Size","DeletedDate","ItemType","ItemState","DeletedByName"
"77155cd6-a044-4a52-9755-8607dfda636d","sites/Demo","HR Forms","22258882","1/10/2024 5:58:17 PM","List","FirstStageRecycleBin","Art Malin"
"bc212183-f876-4522-a2d0-caba88acdd2f","sites/Demo/SitePages","Demo-News.aspx","45471","1/22/2024 4:36:43 PM","File","FirstStageRecycleBin","Art Malin"
"3177bbd2-5842-44c9-9b94-d8cef80fc09f","sites/Demo/SitePages","Demo-news.aspx","8376","1/8/2024 11:35:41 PM","File","FirstStageRecycleBin","Art Malin"
"7f084a94-8047-40b8-8a5f-58461e3f5edc","sites/Demo/SitePages","City-of-Post-Falls-website.aspx","3395","1/22/2024 4:55:49 PM","File","FirstStageRecycleBin","Art Malin"
"30a0b73a-af07-42af-b060-0acd884933a6","sites/Demo/SiteAssets","CCS","20899","1/8/2024 10:52:20 PM","Folder","FirstStageRecycleBin","Art Malin"
"484d4bd1-00a7-4260-8ae0-eefa3c4a7f07","sites/Demo/SiteAssets","__siteIcon__.png","13017","1/9/2024 12:59:56 AM","File","FirstStageRecycleBin","Art Malin"
"fd481468-b1f8-4469-9990-3c86b5b3eee6","sites/Demo/SiteAssets","__siteIcon__.jpg","39147","1/9/2024 12:59:56 AM","File","FirstStageRecycleBin","Art Malin"
"4b76b141-4b28-4846-90b6-f83b51f60d5c","sites/Demo/SiteAssets","__rectSitelogo__demo_5578893_80.png","11690","1/9/2024 1:04:00 AM","File","FirstStageRecycleBin","Art Malin"
